rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
41,宁德时代概念,41.62,46.45,降温,25.3,短线偏弱,conflicted,40.0,33.0,100.0,0.6,70.0,20,10,ok
42,黄金概念,41.58,35.2,降温,36.8,短线降温,defensive_stable_watch,49.0,22.0,100.0,0.9,70.0,20,10,ok
43,俄乌冲突概念,41.51,35.0,降温,36.8,短线降温,defensive_stable_watch,49.0,22.0,100.0,0.9,70.0,20,10,ok
44,核污染防治,41.35,44.25,降温,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
45,化肥,41.11,35.0,降温,36.8,短线降温,defensive_stable_watch,48.0,21.0,100.0,0.9,70.0,20,10,ok
46,BC电池,41.07,41.45,降温,28.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
47,参股保险,41.01,35.0,降温,36.8,短线降温,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,20,10,ok
48,军工,40.95,44.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
49,华为概念,40.95,44.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
50,比亚迪概念,40.95,44.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
51,传感器,40.95,48.25,降温,25.3,短线偏弱,conflicted,38.0,26.0,100.0,0.6,70.0,20,10,ok
52,EDR概念,40.85,44.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
53,AI手机,40.82,46.45,降温,21.3,短线偏弱,conflicted,40.0,33.0,100.0,0.6,70.0,20,10,ok
54,富士康概念,40.82,46.45,降温,21.3,短线偏弱,conflicted,40.0,33.0,100.0,0.6,70.0,20,10,ok
55,东数西算(算力),40.8,49.25,降温,25.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,20,10,ok
56,光伏概念,40.65,42.25,降温,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
57,固态电池,40.37,41.45,降温,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
58,大飞机,40.25,42.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
59,锂电池概念,40.25,42.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
60,长三角一体化,40.25,42.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
61,安防,40.15,42.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
62,高压快充,40.15,42.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
63,环氧丙烷,40.15,46.25,降温,25.3,短线偏弱,conflicted,38.0,25.0,100.0,0.6,70.0,20,10,ok
64,硅能源,40.15,48.25,降温,28.3,短线偏弱,weak_or_avoid,32.0,30.0,100.0,0.8,70.0,20,10,ok
65,F5G概念,40.04,39.65,降温,21.3,短线偏弱,defensive_stable_watch,49.0,22.0,100.0,0.8,70.0,20,10,ok
66,工业互联网,39.75,42.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,20,10,ok
67,车联网(车路协同),39.75,42.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,20,10,ok
68,大豆,39.61,29.0,偏弱,39.8,短线降温,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,20,10,ok
69,工业母机,39.5,37.25,降温,25.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,20,10,ok
70,核电,39.4,37.25,降温,25.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,20,10,ok
71,海峡两岸,39.4,37.25,降温,25.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,20,10,ok
72,飞行汽车(eVTOL),39.4,37.25,降温,25.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,20,10,ok
73,高端装备,39.4,37.25,降温,25.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,20,10,ok
74,ETC,39.4,41.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,20,10,ok
75,国产操作系统,39.3,41.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,13.0,100.0,0.8,70.0,20,10,ok
76,航空发动机,39.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
77,毫米波雷达,39.17,41.45,降温,21.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
78,低空经济,39.1,39.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
79,股权转让(并购重组),39.1,39.25,降温,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
80,储能,39.0,37.25,降温,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
81,充电桩,39.0,37.25,降温,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
82,共封装光学(CPO),38.74,45.65,降温,21.3,短线偏弱,weak_or_avoid,33.0,36.0,100.0,0.6,70.0,20,10,ok
83,广东自贸区,38.7,39.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,20,10,ok
84,独角兽概念,38.6,39.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,13.0,100.0,0.8,70.0,20,10,ok
85,高铁,38.35,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,20,10,ok
86,成飞概念,38.3,39.25,降温,21.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
87,多模态AI,38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
88,抖音概念(字节概念),38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
89,换电概念,38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
90,百度概念,38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
91,阿里巴巴概念,38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
92,鸿蒙概念,38.2,39.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
93,创投,37.95,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
94,海工装备,37.95,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
95,横琴新区,37.85,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
96,钒电池,37.85,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
97,固废处理,37.55,36.25,降温,25.3,短线偏弱,defensive_stable_watch,45.0,13.0,100.0,0.8,70.0,20,10,ok
98,超超临界发电,37.46,28.0,偏弱,36.8,短线降温,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
99,电力物联网,37.45,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
100,电子竞技,37.45,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
101,风电,37.45,34.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
102,华为汽车,37.25,32.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
103,长安汽车概念,37.15,32.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
104,华为鲲鹏,37.15,36.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
105,电子身份证,37.15,36.25,降温,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
106,草甘膦,36.9,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,20,10,ok
107,动力电池回收,36.47,31.45,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
108,互联网金融,36.4,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
109,共享单车,36.4,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
110,抽水蓄能,36.4,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
111,国资云,36.3,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
112,短剧游戏,36.3,31.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
113,国产航母,36.1,29.25,偏弱,25.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,20,10,ok
114,华为欧拉,35.65,32.25,偏弱,25.3,短线偏弱,defensive_stable_watch,44.0,11.0,100.0,0.8,70.0,20,10,ok
115,ERP概念,35.6,29.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
116,金属钴,34.84,29.65,偏弱,25.3,短线偏弱,defensive_stable_watch,44.0,12.0,100.0,0.8,70.0,20,10,ok
117,AI语料,34.67,29.45,偏弱,25.3,短线偏弱,defensive_stable_watch,44.0,11.0,100.0,0.8,70.0,20,10,ok
118,光热发电,34.58,26.05,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
119,代糖概念,34.3,25.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,20,10,ok
120,地下管网,32.8,21.25,偏弱,25.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,20,10,ok
