rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
27,核污染防治,42.15,46.25,降温,34.3,短线偏弱,conflicted,38.0,27.0,100.0,0.6,70.0,31,20,ok
28,电子纸,41.82,46.45,降温,30.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
29,光刻机,41.47,51.45,中性,24.3,短线偏弱,weak_or_avoid,33.0,37.0,100.0,0.8,70.0,31,20,ok
30,AI PC,41.37,41.45,降温,30.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
31,AI手机,41.32,44.45,降温,27.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
32,比亚迪概念,41.15,38.25,降温,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
33,锂电池概念,40.9,41.25,降温,34.3,短线偏弱,conflicted,39.0,29.0,100.0,0.6,70.0,31,20,ok
34,钙钛矿电池,40.87,45.45,降温,27.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
35,超级电容,40.22,46.45,降温,27.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
36,宁德时代概念,40.17,35.45,降温,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
37,共封装光学(CPO),40.04,43.65,降温,24.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
38,富士康概念,40.02,46.45,降温,27.3,短线偏弱,conflicted,37.0,22.0,100.0,0.6,70.0,31,20,ok
39,航空发动机,39.85,38.25,降温,34.3,短线偏弱,conflicted,39.0,29.0,100.0,0.6,70.0,31,20,ok
40,成飞概念,39.65,32.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,31,20,ok
41,光伏概念,39.55,36.25,降温,27.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
42,超导概念,39.42,40.45,降温,24.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
43,金属钴,39.18,31.2,偏弱,45.8,短线降温,conflicted,38.0,27.0,100.0,0.7,70.0,31,20,ok
44,猴痘概念,39.07,41.45,降温,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
45,BC电池,38.62,36.45,降温,27.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
46,毫米波雷达,37.77,35.45,降温,27.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
47,军工,37.75,34.25,偏弱,34.3,短线偏弱,conflicted,38.0,25.0,100.0,0.6,70.0,31,20,ok
48,大飞机,37.65,32.25,偏弱,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
49,飞行汽车(eVTOL),37.65,32.25,偏弱,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
50,草甘膦,37.46,28.0,偏弱,42.8,短线降温,conflicted,38.0,27.0,100.0,0.7,70.0,31,20,ok
51,东数西算(算力),37.05,30.25,偏弱,30.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
52,华为概念,37.05,30.25,偏弱,30.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
53,化肥,36.86,28.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,33.0,100.0,0.9,70.0,31,20,ok
54,固废处理,36.76,28.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,32.0,100.0,0.9,70.0,31,20,ok
55,海工装备,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
56,高压快充,36.65,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
57,国产操作系统,36.45,26.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
58,低空经济,36.25,28.25,偏弱,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
59,海峡两岸,36.25,28.25,偏弱,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
60,多模态AI,36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
61,抖音概念(字节概念),36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
62,高股息精选,36.06,28.0,偏弱,42.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
63,横琴新区,36.05,24.25,偏弱,31.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
64,ETC,35.85,26.25,偏弱,31.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
65,长三角一体化,35.75,32.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,30.0,100.0,0.8,70.0,31,20,ok
66,黄金概念,35.68,25.2,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
67,工业互联网,35.65,28.25,偏弱,34.3,短线偏弱,conflicted,38.0,25.0,100.0,0.6,70.0,31,20,ok
68,三胎概念,35.36,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,32.0,100.0,0.9,70.0,31,20,ok
69,EDR概念,35.27,25.45,偏弱,30.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
70,地下管网,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
71,短剧游戏,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
72,航运概念,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
73,互联网金融,35.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
74,国资云,35.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
75,安防,35.05,28.25,偏弱,30.3,短线偏弱,conflicted,38.0,27.0,100.0,0.6,70.0,31,20,ok
76,储能,34.9,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
77,充电桩,34.9,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
78,创投,34.85,24.25,偏弱,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
79,动力电池回收,34.5,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
80,核电,34.45,28.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
81,高端装备,34.45,28.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
82,高铁,34.45,28.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
83,换电概念,34.35,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
84,百度概念,34.35,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
85,阿里巴巴概念,34.35,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
86,鸿蒙概念,34.35,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
87,钒电池,34.3,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
88,华为欧拉,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
89,华为鲲鹏,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
90,电力物联网,34.05,20.25,偏弱,30.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
91,代糖概念,33.9,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
92,风电,33.9,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
93,股权转让(并购重组),33.85,28.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,28.0,100.0,0.8,70.0,31,20,ok
94,广东自贸区,33.85,24.25,偏弱,34.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
95,独角兽概念,33.85,24.25,偏弱,34.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
96,车联网(车路协同),33.85,24.25,偏弱,34.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
97,AI语料,33.27,17.45,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
98,高压氧舱,33.25,24.25,偏弱,31.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
99,ERP概念,33.1,15.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
100,电子竞技,33.05,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
101,电子身份证,33.05,20.25,偏弱,30.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
102,国产航母,32.95,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,30.0,100.0,0.8,70.0,31,20,ok
103,长安汽车概念,32.7,19.25,偏弱,34.3,短线偏弱,conflicted,38.0,27.0,100.0,0.6,70.0,31,20,ok
104,华为汽车,32.6,19.25,偏弱,34.3,短线偏弱,conflicted,38.0,26.0,100.0,0.6,70.0,31,20,ok
105,宠物经济,32.55,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,29.0,100.0,0.8,70.0,31,20,ok
106,光热发电,32.5,15.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
107,抽水蓄能,32.5,15.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
108,共同富裕示范区,32.45,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,28.0,100.0,0.8,70.0,31,20,ok
109,国企改革,32.45,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,28.0,100.0,0.8,70.0,31,20,ok
110,供销社,32.35,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
111,参股券商,32.35,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
112,福建自贸区,32.35,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
113,大豆,31.71,17.0,偏弱,42.8,短线降温,weak_or_avoid,31.0,29.0,100.0,0.9,70.0,31,20,ok
114,共享单车,31.55,20.25,偏弱,34.3,短线偏弱,weak_or_avoid,32.0,30.0,100.0,0.8,70.0,31,20,ok
115,黑龙江自贸区,31.15,20.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,29.0,100.0,0.8,70.0,31,20,ok
116,冰雪产业,30.95,20.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
117,F5G概念,30.69,18.65,偏弱,24.3,短线偏弱,defensive_stable_watch,44.0,11.0,100.0,0.8,70.0,31,20,ok
118,俄乌冲突概念,30.2,19.25,偏弱,31.3,短线偏弱,weak_or_avoid,31.0,29.0,100.0,0.8,70.0,31,20,ok
119,超超临界发电,28.7,11.25,偏弱,31.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
120,白酒概念,28.1,15.25,偏弱,31.3,短线偏弱,weak_or_avoid,30.0,25.0,100.0,0.8,70.0,31,20,ok
