rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
55,国产操作系统,44.71,33.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
56,工业互联网,44.41,31.0,偏弱,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
57,股权转让(并购重组),44.41,31.0,偏弱,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
58,长三角一体化,44.41,31.0,偏弱,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
59,宁德时代概念,44.31,39.0,降温,45.8,短线降温,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,30,20,ok
60,低空经济,44.01,31.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
61,参股银行,44.01,31.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
62,独角兽概念,44.01,31.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
63,车联网(车路协同),44.01,31.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
64,EDR概念,43.68,33.2,偏弱,58.8,短线中性,conflicted,40.0,33.0,100.0,0.7,70.0,30,20,ok
65,共享单车,43.51,27.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
66,抽水蓄能,43.51,27.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
67,横琴新区,43.51,27.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
68,三胎概念,43.51,25.0,偏弱,58.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
69,AI手机,43.47,43.45,降温,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,30,20,ok
70,参股保险,43.36,22.0,偏弱,55.8,短线中性,oversold_rebound_candidate,54.0,33.0,100.0,0.9,70.0,30,20,ok
71,广东自贸区,43.31,31.0,偏弱,52.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
72,ETC,43.31,29.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
73,海南自贸区,43.31,29.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
74,草甘膦,43.21,31.0,偏弱,49.8,短线降温,defensive_stable_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
75,俄乌冲突概念,43.16,26.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
76,储能,43.16,26.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
77,钒电池,43.16,26.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
78,国资云,43.11,27.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
79,电力物联网,43.11,27.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
80,BC电池,42.93,44.2,降温,45.8,短线降温,weak_or_avoid,33.0,34.0,100.0,0.9,70.0,30,20,ok
81,钙钛矿电池,42.9,47.25,降温,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,30,20,ok
82,动力电池回收,42.76,26.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
83,长安汽车概念,42.76,26.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
84,毫米波雷达,42.63,36.2,降温,42.8,短线降温,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,30,20,ok
85,冰雪产业,42.61,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
86,参股券商,42.61,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
87,固废处理,42.61,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
88,短剧游戏,42.61,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
89,华为鲲鹏,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
90,多模态AI,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
91,抖音概念(字节概念),42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
92,电子身份证,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
93,百度概念,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
94,阿里巴巴概念,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
95,鸿蒙概念,42.51,27.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
96,富士康概念,42.12,46.45,降温,34.3,短线偏弱,conflicted,38.0,26.0,100.0,0.6,70.0,30,20,ok
97,华为欧拉,42.11,27.0,偏弱,55.8,短线中性,early_repair_watch,48.0,21.0,100.0,0.8,70.0,30,20,ok
98,高股息精选,41.91,27.0,偏弱,52.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
99,共封装光学(CPO),41.84,43.65,降温,31.3,短线偏弱,conflicted,40.0,33.0,100.0,0.6,70.0,30,20,ok
100,金属钴,41.83,26.2,偏弱,55.8,短线中性,early_repair_watch,48.0,21.0,100.0,0.8,70.0,30,20,ok
101,黄金概念,41.78,23.2,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
102,共同富裕示范区,41.71,31.0,偏弱,55.8,短线中性,conflicted,39.0,30.0,100.0,0.6,70.0,30,20,ok
103,国企改革,41.71,31.0,偏弱,55.8,短线中性,conflicted,39.0,30.0,100.0,0.6,70.0,30,20,ok
104,福建自贸区,41.71,31.0,偏弱,55.8,短线中性,conflicted,39.0,30.0,100.0,0.6,70.0,30,20,ok
105,超超临界发电,41.71,23.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
106,ERP概念,41.36,22.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
107,地下管网,41.36,22.0,偏弱,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
108,AI语料,41.13,24.2,偏弱,55.8,短线中性,early_repair_watch,48.0,21.0,100.0,0.8,70.0,30,20,ok
109,白酒概念,40.76,22.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
110,航运概念,40.76,22.0,偏弱,55.8,短线中性,early_repair_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
111,代糖概念,40.66,22.0,偏弱,52.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
112,光热发电,40.66,22.0,偏弱,52.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
113,高压快充,40.26,28.0,偏弱,45.8,短线降温,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,30,20,ok
114,AI PC,40.22,34.45,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,30,20,ok
115,大豆,39.96,20.0,偏弱,52.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
116,成飞概念,39.26,28.0,偏弱,42.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,30,20,ok
117,充电桩,39.21,23.0,偏弱,45.8,短线降温,defensive_stable_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
118,华为汽车,39.11,23.0,偏弱,45.8,短线降温,defensive_stable_watch,49.0,22.0,100.0,0.8,70.0,30,20,ok
119,换电概念,38.86,24.0,偏弱,45.8,短线降温,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,30,20,ok
120,F5G概念,37.94,33.65,偏弱,31.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,30,20,ok
